,Job_name,Company_name
400, Digər problemli kreditlər ilə iş şöbəsinin mütəxəssisi ,  Kapital Bank 
401, Keyfiyyətə nəzarət üzrə mühəndis ,  AGE LLC 
402, Marketer , I Intercontinental Hotel Baku 
403, IT Бизнес аналитик ,  VTB Bank 
404, Satınalma üzrə mütəxəssis , Z Zəhmət - Ruzi MMC 
405, Nəqliyyat üzrə menecer , Z Zəhmət - Ruzi MMC 
406, Layihələrin idarə olunması üzrə təcrübəçi ,  PASHA Insurance 
407, Network and IT Security Specialist / Leading Specialist ,  Access Bank 
409, HR Təcrübə Proqramı ,  Port Education Center 
410, Ekvayrinq və riskli əməliyyatların monitorinqi üzrə mütəxəssis ,  Bank Respublika ASC 
411, Pərakəndə Bankçılıq üzrə Mütəxəssis (Nəsimi filialı) ,  Bank Respublika ASC 
412, Məlumat mərkəzi şöbəsinin mütəxəssisi/aparıcı mütəxəssisi ,  Bank Respublika ASC 
413, ISO10002 2018 Müştəri Məmnuniyyətinin İdarə Edilməsi ,  Port Education Center 
414, Analytic Team Lead ,  Competo 
415, Kontent üzrə mütəxəssis , H Hermes Engineering 
416, Senior Payroll Specialist , C Company 
418, Visuals Arts Teacher , K Khazar University Dunya IB School 
419, Satış üzrə mütəxəssis ,  Solart 
420, İnzibati Köməkçi (Naxçıvan Filialı) ,  Access Bank 
421, İnzibati Köməkçi (Xırdalan Filialı) ,  Access Bank 
422, Satınalma üzrə baş mütəxəssis ,  UNICO 
423, Risk metodologiyası və hesabatlılıq şöbəsinin mütəxəssisi ,  Xalq Bank 
424, Ведущий менеджер отдела клиентского сервиса , P Penoplex Prikavkazye 
425, Менеджер отдела клиентского сервиса , P Penoplex Prikavkazye 
426, Xərclərə nəzarət şöbəsinin iqtisadçısı ,  Azerbaijan Airlines 
427, Satış və marketinq rəhbəri ,  Ferrum Capital 
428, Rəqəmsal marketinq üzrə mütəxəssis ,  Kontakt Home 
429, İrad zənglərinin qəbulu üzrə inzibatçı ,  Kontakt Home 
430, Merçendayzer ,  Kontakt Home 
431, Korporativ kommunikasiyalar üzrə aparıcı mütəxəssis ,  Kontakt Home 
433, Həkim (Qarabağ) ,  North West Construction 
434, Секретарь-референт ,  Irshad Electronics 
435, İmtinaların idarəedilməsi üzrə mütəxəssis , E ENGINET 
436, IT Specialist , S SOCAR Upstream Management International LLC 
437, Senior Business Analyst , S SOCAR Upstream Management International LLC 
438, Senior Financial Reporting and Audit Specialist , S SOCAR Upstream Management International LLC 
439, Anbar köməkçisi , V Vadi.az 
440, Kuryer , V Vadi.az 
441, Call Center Operator , T Teleport 
442, Commercial Specialist ,  Workplace Interiors LLC 
443, Pre-Contract Quantity Surveyor (Civil Construction) for Tender Team ,  Workplace Interiors LLC 
444, Tender Specialist ,  Workplace Interiors LLC 
445, Специалист по кадровому делопроизводству ,  Carlsberg Azerbaijan 
446, Продавец консультант ,  Xurcun 
